prompt_len,output_len,num_repeats,ttft_ms_mean,ttft_ms_std,total_latency_ms_mean,total_latency_ms_std,decode_total_ms_mean,decode_total_ms_std,tpot_ms_mean,tpot_ms_std,tokens_per_second_mean,tokens_per_second_std,backend,ttft_method
128,1,5,31.96706771850586,1.1125477804268709,31.96706771850586,1.1125477804268709,0.0,0.0,,,31.312924871982876,1.1040915436844578,vllm,offline_proxy
128,32,5,33.359479904174805,1.0247694875226643,741.4964600466192,0.3717587254866877,708.1369801424444,0.7480812994266721,22.843128391691756,0.02413165482021444,43.15598004723874,0.021636581593396254,vllm,offline_proxy
128,64,5,32.396554946899414,1.47825822580434,1471.788638457656,1.1422204478782294,1439.3920835107565,0.4691331272938919,22.84749338905963,0.007446557576094031,43.48452568303642,0.03375991771190493,vllm,offline_proxy
128,128,5,33.2399845123291,1.1537851096443512,2934.006283991039,1.702325324717919,2900.7662994787097,1.281036757219948,22.840679523454405,0.010086903600155923,43.626366847988514,0.025318090028099705,vllm,offline_proxy
128,256,5,33.199501037597656,1.4674252106099432,5860.20377241075,3.303731080784983,5827.004271373153,2.116974971370804,22.850997142639816,0.008301862632825365,43.68449887419503,0.024630649020739494,vllm,offline_proxy
128,512,5,34.08713340759277,1.149054123454894,11735.282584931701,5.991835222288111,11701.195451524109,5.944367356514368,22.898621235859316,0.011632812830752244,43.629124658666875,0.02228087693964093,vllm,offline_proxy
256,1,5,51.766252517700195,0.7688562358602052,51.766252517700195,0.7688562358602052,0.0,0.0,,,19.320999661083942,0.28574825388026653,vllm,offline_proxy
256,32,5,49.92694854736328,0.6906654648200307,760.661574266851,0.5827821959215962,710.7346257194877,0.13416439437834748,22.926923410306056,0.004327883689624903,42.06866249110554,0.03225430270441081,vllm,offline_proxy
256,64,5,49.904727935791016,1.02754549952008,1493.441656511277,0.9885090847199791,1443.536928575486,0.05816218371237017,22.913284580563264,0.0009232092652737963,42.854049340122174,0.028369405920229,vllm,offline_proxy
256,128,5,50.574398040771484,0.5354576514038593,2959.3296212144196,0.5807388376814875,2908.755223173648,0.19108677164656485,22.903584434438176,0.0015046202491843257,43.25304049475382,0.008488565687733901,vllm,offline_proxy
256,256,5,49.40972328186035,0.8234937790065356,5889.267878513783,0.9723527232638177,5839.858155231923,0.4061880964443141,22.901404530321265,0.0015928944958608642,43.46890154489532,0.007176704069154469,vllm,offline_proxy
256,512,5,50.62441825866699,0.6024227358632773,11759.74192833528,0.6642982398677094,11709.117510076612,0.498476844222038,22.91412428586421,0.0009754928458359967,43.53837052098569,0.0024594226867340726,vllm,offline_proxy
512,1,5,82.27524757385254,2.631500645000131,82.27524757385254,2.631500645000131,0.0,0.0,,,12.164388541285584,0.39357489630174586,vllm,offline_proxy
512,32,5,81.15625381469727,0.6702496693635321,792.2584072686732,0.5353953315784897,711.1021534539759,0.15315440597974572,22.93877914367664,0.004940464709022676,40.3908767729845,0.02731708188274957,vllm,offline_proxy
512,64,5,81.19540214538574,1.2164199482822446,1525.7404064759612,1.1972102831561697,1444.5450043305755,0.08286343329569544,22.929285783025005,0.001315292591996866,41.9468680580963,0.03291125667804758,vllm,offline_proxy
512,128,5,82.02366828918457,0.609000730267662,2993.6994754709303,0.7048888711615058,2911.6758071817458,0.1220067231669753,22.926581158911386,0.0009606828595820522,42.75646461035801,0.010067225815811808,vllm,offline_proxy
512,256,5,81.99186325073242,1.5954720797427502,5930.814239382744,1.5509316388084804,5848.822376132011,0.11167655140496394,22.936558337772595,0.00043794726041067214,43.164395927865854,0.011286233809872231,vllm,offline_proxy
512,512,5,82.31849670410156,0.47998999517965824,11814.515668805689,0.6217067170350802,11732.197172101587,0.48147250305189065,22.959289964973753,0.0009422162486325744,43.3365205554738,0.0022803457265450616,vllm,offline_proxy
1024,1,5,155.2436351776123,1.3799851793791436,155.2436351776123,1.3799851793791436,0.0,0.0,,,6.44189434074721,0.0571532924391538,vllm,offline_proxy
1024,32,5,154.1694164276123,1.3896670303328764,868.3438690379262,1.4397945946429143,714.1744526103139,0.1093202481820161,23.037885568074643,0.003526459618775603,36.85184134171455,0.06119960843635549,vllm,offline_proxy
1024,64,5,153.62439155578613,1.3332307210673826,1604.0110930800438,1.3421650109823007,1450.3867015242577,0.12914369128788614,23.022011135305675,0.0020498998617126596,39.89999578939703,0.033397580045830565,vllm,offline_proxy
1024,128,5,154.43129539489746,0.2384764720246967,3076.84437809512,0.6836041065213868,2922.4130827002227,0.5623922941812177,23.011126635434827,0.004428285780955471,41.601065678093036,0.00924220314668995,vllm,offline_proxy
1024,256,5,154.2832851409912,0.9501768142942896,6022.449295129627,1.1790951949600499,5868.166009988636,0.2920928687112532,23.01241572544563,0.0011454622302400634,42.507623610535084,0.00832301611139791,vllm,offline_proxy
1024,512,5,152.3876190185547,1.7738908440132857,11935.89675212279,1.8103776174291033,11783.509133104235,0.22014005457803637,23.059704761456423,0.0004308024551415874,42.895814202827594,0.006506372334163024,vllm,offline_proxy
2048,1,5,297.53270149230957,0.15212437517552377,297.53270149230957,0.15212437517552377,0.0,0.0,,,3.3609757990663596,0.0017185486182921923,vllm,offline_proxy
2048,32,5,296.23875617980957,1.559905874703497,1017.2212038189173,1.5417509490850467,720.9824476391077,0.06488509029403888,23.257498310938956,0.0020930674288385377,31.458308851615925,0.04767320421339537,vllm,offline_proxy
2048,64,5,296.77929878234863,1.2431669256171398,1761.536775995046,1.47358519060645,1464.7574772126973,0.2847744077022361,23.25011868591583,0.004520228693687246,36.33193284170858,0.030405147476263338,vllm,offline_proxy
2048,128,5,295.96004486083984,2.0626596671141733,3248.512429278344,2.179161682627285,2952.552384417504,0.24135289958495615,23.248443971791367,0.0019004165321644072,39.40266472418348,0.026445493796862087,vllm,offline_proxy
2048,256,5,297.69935607910156,2.403456098249338,6228.475249372423,2.393374790930799,5930.775893293321,0.12011701891405671,23.25794467958165,0.00047104713299559153,41.10155695987198,0.015791110001074755,vllm,offline_proxy
2048,512,5,298.1276512145996,0.5639089821099629,12194.30841151625,1.9959347137363777,11896.18076030165,1.4436689002446856,23.2801971825864,0.0028251837578181175,41.986801849992375,0.006871484868503516,vllm,offline_proxy
4096,1,5,611.6289138793945,3.236523897817202,611.6289138793945,3.236523897817202,0.0,0.0,,,1.6350148381633485,0.008631878230259186,vllm,offline_proxy
4096,32,5,610.0829124450684,1.5779718789314607,1350.7873979397118,1.3991440552095422,740.7044854946434,0.23841805184634626,23.89369308047237,0.007690904898270063,23.689906722188567,0.02453169657681266,vllm,offline_proxy
4096,64,5,611.3216876983643,1.0637598320979291,2116.1415055394173,1.0295495478450025,1504.819817841053,0.15033917597932303,23.88602885461989,0.0023863361266554042,30.24372989844455,0.014715687478900659,vllm,offline_proxy
4096,128,5,610.3737831115723,1.134088131520986,3643.4703529812396,1.143414998786344,3033.0965698696673,0.3088022574120665,23.88265015645407,0.0024315138378893223,35.131343934538556,0.011026047603619924,vllm,offline_proxy
4096,256,5,614.6004676818848,5.201166982277591,6704.184226132929,5.658035448680443,6089.583758451045,0.5569026713977202,23.880720621376643,0.0021839320446993206,38.18512993365982,0.03220510717088786,vllm,offline_proxy
4096,512,5,611.5121841430664,1.1677127079527105,12810.861378535628,0.9265881520925555,12199.349194392562,0.9371771021000365,23.87348178941793,0.0018340060706445141,39.966087136082095,0.002890744671220615,vllm,offline_proxy
