workload_name,num_success,num_failed,avg_prompt_len,avg_output_len,avg_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,avg_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,avg_total_latency_ms,p95_total_latency_ms,throughput_req_s,throughput_tok_s,avg_gpu_util,peak_memory_mb
decode_heavy_256,200,0,256.0,256.0,3761.5600323677063,4139.3396854400635,6242.11540222168,6581.89487695694,68.8130344376881,67.35491191457008,79.12045367902108,79.12045367902108,21308.883813978173,21351.11841098405,9.3044084406106,2381.928560796314,99.23148148148148,46046.9375
decode_heavy_512,200,0,256.0,512.0,3778.523360490799,4160.056471824646,6272.7447390556335,6612.727348804474,68.99260314543679,68.26465908591061,74.13786941311831,74.13786941311831,39033.743567809,39084.13964647334,5.097806595692664,2610.076976994644,99.56122448979592,46046.9375
long_long,200,0,2048.0,256.0,38765.40251612663,29452.945590019226,76458.5230588913,78477.8572678566,151.57824922899954,173.40523615187288,202.41621797210442,239.7770749222414,77417.85606952151,95006.41034785658,2.0871702319145244,534.3155793701183,99.81799163179916,46046.9375
mixed_30p70d,200,0,1152.0,298.24,16751.071956157684,16336.75503730774,35572.987449169144,37379.147419929504,166.44345640476203,105.78870118746931,494.751922149832,507.7166983106779,48061.942679502536,56577.68932101317,3.445259250011174,1027.5141187233326,99.73448275862069,46542.9375
mixed_50p50d,200,0,1684.48,231.68,24282.11598277092,22084.81240272522,51612.321150302865,54435.37432193756,259.30807609480047,197.27045025930408,513.3345264734494,526.5404985522822,59504.0935726231,73298.37394950446,2.6970823390998,624.8600363226418,99.77567567567567,46046.9375
mixed_70p30d,200,0,2114.56,162.56,34043.95407915115,36154.28984165192,64118.15683841705,66794.03332710266,327.99163572630664,374.8714220636184,518.7660249482308,550.5636166805579,65266.43753518583,84397.91056457907,2.3396870617392143,380.3395287563267,99.78169014084507,46126.9375
prefill_heavy_2k,200,0,2048.0,64.0,31068.493171930313,29141.844630241394,59395.83359956741,61814.34189081191,395.3302648908917,493.8160247272915,514.7256600182681,521.673553703752,55974.29986005649,65752.82129757106,3.0038912334333814,192.2490389397364,99.77710843373494,46046.9375
prefill_heavy_4k,200,0,4096.0,64.0,66316.52659058571,64712.079763412476,127537.12157011032,132536.85680389404,462.6152674113548,521.1407532693729,529.4050215891311,567.9697320468368,95461.28843750106,136184.2812419869,1.4509972924026586,92.86382671377017,99.8806404657933,46046.9375
short_short,200,0,128.0,64.0,2146.4855003356934,2102.9168367385864,3134.3013048171997,3298.516869544983,68.65165690917314,69.45328186044381,85.35734337887594,85.35734337887594,6471.539885613602,6487.192344130017,30.42385652880416,1947.1268178434664,97.23529411764706,46046.9375
